NAME_1,HASC_1,Food Insecurity Probability,Land Degradation,Droughts probability and historical impact,Natural,Political violence,Human,HAZARD,Development & Deprivation,Inequality,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Malnutrition,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,RISK,latitude,longitude
Boucle du Mouhoun,BF-01,1.3,8.2,6.4,5.7,0,2.9,4.4,9.4,4.2,6.7,0,3,6.9,2.4,0.7,3.1,1.7,4.7,8.2,10,5.7,8,7,5.3,11.7454205,-2.9300599
Cascades,BF-02,0.4,1.4,4.3,2.1,0,2.9,2.5,9.2,4.8,6.7,0,2.8,7,0.7,0,2.7,1.4,4.6,7.5,5.2,5.7,6.1,6,4.1,10.6333303,-4.7666702
Centre,BF-03,0.8,1.7,5.3,2.3,5,5.4,4,6.6,5.7,5.6,1.3,4,5.2,2,0.5,2.7,2,4,6.3,2.2,5.7,4.7,5.3,4.4,12.3656597,-1.53388
Centre Est,BF-04,1.7,4.3,6.4,4.5,0,2.9,3.7,9.4,5,6.9,0,4.2,5.3,1.7,0,2.5,1.3,4.7,8.5,6,5.7,6.7,6.3,4.8,11.5020199,0.05886
Centre Nord,BF-05,2.9,8.6,6.9,6.4,0,2.9,4.9,9.4,4.5,6.7,0,3.2,6.5,1.5,0.5,2.8,1.5,4.6,8.6,5.6,5.7,6.6,6.2,5.2,13.09167,-1.08444
Centre Ouest,BF-06,1.7,6.5,6.4,4.8,0,2.9,3.9,9.4,4.3,6.7,0,4.2,7.1,3.2,0.3,3.5,1.9,4.7,8.4,5.7,5.7,6.6,6.2,4.8,12.2526302,-2.36272
Centre Sud,BF-07,1.3,5.5,5.9,4.4,5,5.4,4.9,9.4,4.5,6.7,0,3.5,6.5,1.6,0,2.7,1.4,4.6,8.6,6,5.9,6.8,6.3,5.2,11.6636105,-1.07306
Est,BF-08,2.5,7.1,5.9,5.3,4,4.9,5.1,9.4,4.1,6.6,0,3.9,7.9,5.3,0.9,4.3,2.4,4.8,8.6,7.4,5.7,7.2,6.6,5.4,12.6482401,0.49314
Hauts Bassins,BF-09,0.4,5,4.3,3.4,0,2.9,3.2,8.8,5.3,6.6,1.3,4,6.7,0.8,0,2.9,2.1,4.7,7.5,8.5,5.7,7.2,6.6,4.6,11.17715,-4.2979
Nord,BF-10,2.5,5.5,6.9,4.7,0,2.9,3.9,9.4,4.1,6.6,0,4.2,7.3,3.2,1,3.7,2,4.7,8.5,8.5,5.7,7.6,6.8,5,13.5827799,-2.4215801
Plateau Central,BF-11,2.5,8.4,5.9,5.6,0,2.9,4.4,9.4,4.1,6.6,0,3.5,6.9,1.1,0.4,2.9,1.6,4.6,8.6,4.6,5.7,6.3,6.1,5,12.5818596,-1.2970999
Sahel,BF-12,4.2,4.3,6.4,5.1,5,5.4,5.3,9.4,4.1,6.6,6.1,3.6,7.5,3.6,3.6,4.1,5.2,5.9,8.6,7.1,5.7,7.1,6.5,5.9,14.0993996,-1.62554
Sud-Ouest,BF-13,1.3,1.7,4.3,2.3,0,2.9,2.6,9.4,5.2,6.9,0,3.8,7.6,3.5,0.5,3.7,2,4.9,8.5,7.2,5.7,7.1,6.5,4.4,10.9620895,-3.24967
Adamaoua,CM-01,0,8,1.4,5.4,0,4.8,5.1,5.8,6.5,4.9,7.5,5.8,4.7,2,10,5.9,6.8,5.9,7,5.6,5.8,6.1,6.2,5.7,7.32765,13.58472
Centre,CM-02,0,2,2.4,2.7,0,4.8,3.8,5,6.5,4.5,3.7,6.9,0,0,0,3.1,3.4,4,5.5,5.7,5.4,5.5,5.9,4.5,3.8666699,11.5166702
Est,CM-03,0,8.6,1.9,6,0,4.8,5.4,5.9,6.5,5,8.8,5.3,5.1,3.5,3.8,3.8,7,6.1,6.6,7.1,5.2,6.3,6.3,5.9,4.58,13.68
Extreme-Nord,CM-04,0,7.5,3.5,6.6,5,7.3,7,8.9,6.5,6.5,8.9,6.6,6.9,4.9,10,6.8,8,7.3,8.3,8.6,7.1,8,7.2,7.2,10.592529,14.321009
Littoral,CM-05,0,1.2,2.4,3.5,0,4.8,4.2,4.3,6.5,4.2,3.5,5.4,0,0,0,2.3,2.9,3.6,4.6,4.8,5.8,5.1,5.7,4.4,4.0482702,9.7042799
Nord,CM-06,0,5,1.4,5.7,0,4.8,5.3,8.1,6.5,6.1,3.5,5.2,7.2,2.8,8.4,5.7,4.7,5.4,7.9,8.3,6.2,7.5,6.9,5.8,9.3,13.4
Nord-Ouest,CM-07,0,9,1.9,5.6,0,4.8,5.2,4.9,6.5,4.5,0,5.9,0,0,0,2.5,1.3,3.1,6.1,6.8,5.8,6.2,6.2,4.6,6.38,10.07
Ouest,CM-08,0,8.5,2.4,5.4,0,4.8,5.1,4.7,6.5,4.4,0,5,0,0,0,2,1,2.9,5.2,6.4,5.1,5.6,5.9,4.4,5.4777498,10.4175901
Sud,CM-09,0,7.9,2.4,5.5,0,4.8,5.2,4.6,6.5,4.3,0,7.3,0,0,0,3.3,1.8,3.1,4.7,6.7,5.6,5.7,6,4.6,2.9,11.15
Sud-Ouest,CM-10,0,5.5,2.4,4.2,0,4.8,4.5,4.6,6.5,4.3,0,5.5,0,1.7,0,2.7,1.4,3,5.3,6.8,5.6,5.9,6.1,4.4,5.3299,9.4185
Banjul,GM-01,0,0,4.1,1.2,5,2.7,2,5.2,7.1,6,0,2.7,3.2,2.3,0,2.5,1.3,4,5.6,2.8,6.4,4.9,5.5,3.5,13.45274,-16.57803
Basse,GM-02,2.5,4.6,3.1,4.9,0,0.2,2.9,9.2,7.1,8,0,3.4,6.6,5.8,7,5.2,3,6.1,6.7,4.1,5.2,5.3,5.7,4.7,13.3099499,-14.2137299
Brikama,GM-03,2.5,6.5,3.6,3.5,0,0.2,2,6.3,7.1,6.6,0,3.6,3.1,4.9,4.1,3.5,1.9,4.7,5.9,4.7,6.1,5.6,5.8,3.8,13.2713604,-16.6494408
Janjanbureh,GM-04,3,2.1,3.1,2.8,0,0.2,1.6,8.5,7.1,7.7,0,3.3,5.6,4.7,2.5,3.7,2,5.5,6.6,5.2,5.9,5.9,6,3.8,13.534131,-14.766153
Kanifing,GM-05,0,2.5,4.1,1.8,0,0.2,1,5.7,7.1,6.3,0,3.6,3.9,2.9,0,3,1.6,4.3,5.6,2.9,6.2,4.9,5.5,2.9,13.448395,-16.685143
Kerewan,GM-06,3.5,2.6,3.1,2.6,0,0.2,1.5,7.7,7.1,7.3,0,2.9,2.6,5.3,2.5,3.1,1.7,5.1,6.4,4.8,5.4,5.5,5.8,3.5,13.4898,-16.08879
Kuntaur,GM-07,3,3.4,3.1,5,0,0.2,2.9,9.2,7.1,8,0,3.5,3.4,5.1,0.5,3,1.6,5.7,6.7,6.4,5.4,6.2,6.1,4.7,13.6708498,-14.8897696
